product_name,last_position_count,total_count,last_position_rate,general_rate,impulse_ratio,department_id
Sparkling Water,3065,12321,0.0009533810656342986,0.00037987341191038956,2.509733600042524,7
Trail Mix,2851,12068,0.0008868154708396036,0.00037207307320303397,2.3834443680789645,19
Soda,8363,35791,0.002601346118074923,0.0011034858603753553,2.3573896245395156,7
0% Greek Strained Yogurt,2918,13238,0.0009076561009856062,0.00040814578580226744,2.2238526834265397,16
Smartwater,2530,11504,0.0007869670786475613,0.000354684175847506,2.218782602204143,7
Chocolate Chip Cookies,2981,14148,0.0009272525144064744,0.00043620234004611573,2.1257394316326783,19
Clementines,6454,30843,0.0020075436860044903,0.0009509322005967167,2.111132302328959,4
Sweet Kale Salad Mix,2366,11362,0.0007359541929170475,0.0003503061201303341,2.1008887673536223,4
Apples,2586,12575,0.0008043861127994441,0.00038770458199603513,2.07473976360607,4
Organic Extra Virgin Olive Oil,2593,13216,0.0008065634920684295,0.00040746749547988873,1.9794548056367327,13
Organic Tortilla Chips,2667,13776,0.0008295815014834174,0.0004247330673222569,1.9531832233208033,19
Sparkling Mineral Water,3196,18161,0.000994129163382453,0.0005599286611236576,1.775456825852507,7
Natural Artesian Water,2382,13727,0.0007409310598175854,0.00042322232978604966,1.7506899037963004,7
Vanilla Ice Cream,2086,12117,0.0006488590221576336,0.0003735838107392412,1.7368499477364465,1
Seedless Cucumbers,2280,13571,0.000709203533326656,0.0004184126347728185,1.6949859406414087,4
Natural Spring Water,3246,19518,0.001009681872446634,0.0006017668414631105,1.6778622597279307,7
Baby Cucumbers,2373,14399,0.0007381315721860328,0.00044394101599689147,1.6626793776387656,4
Packaged Grape Tomatoes,2179,13355,0.0006777870610170104,0.0004117530570621908,1.646100859221157,4
Reduced Fat 2% Milk,2727,17320,0.0008482447523604346,0.0005339994719818155,1.5884748897079815,16
Spring Water,8715,56087,0.0027108371898867576,0.0017292395141480417,1.5676470307945325,7
Honeycrisp Apples,2121,13880,0.0006597459185025602,0.00042793953066441097,1.5416802403794083,4
